,CID,HBondDonorCount,HBondAcceptorCount,MolecularWeight,XLogP,CanonicalSMILES,IsomericSMILES,HitFreq,Include
14,70074958,2,6,448.9,3.9,CC1=C(C(C(=C(N1)C)C(=O)OC)C2=CC=CC=C2Cl)C(=O)NC(C)C(=O)OC(C)(C)C,CC1=C([C@@H](C(=C(N1)C)C(=O)OC)C2=CC=CC=C2Cl)C(=O)NC(C)C(=O)OC(C)(C)C,3,1
15,70073800,2,6,448.9,3.9,CC1=C(C(C(=C(N1)C)C(=O)OC)C2=CC=CC=C2Cl)C(=O)NC(C)C(=O)OC(C)(C)C,CC1=C(C(C(=C(N1)C)C(=O)OC)C2=CC=CC=C2Cl)C(=O)NC(C)C(=O)OC(C)(C)C,3,0
16,20183492,2,5,441.9,1.2,CC1=C(C(C2=C(N1)C=CN(C2=O)CCCN3CCCCC3)C4=CC=CC=C4Cl)C(=O)O,CC1=C(C(C2=C(N1)C=CN(C2=O)CCCN3CCCCC3)C4=CC=CC=C4Cl)C(=O)O,2,1
17,18318317,2,4,436.9,4.6,CC1=C(C(C(=C(N1)C)C(=O)O)C2=CC(=CC=C2)Cl)C(=O)N(C)CC=CC3=CC=CC=C3,CC1=C(C(C(=C(N1)C)C(=O)O)C2=CC(=CC=C2)Cl)C(=O)N(C)C/C=C/C3=CC=CC=C3,3,0
18,18318313,3,4,438.9,4.9,CC1=C(C(C(=C(N1)C)C(=O)O)C2=CC(=CC=C2)Cl)C(=O)NCCCCC3=CC=CC=C3,CC1=C(C(C(=C(N1)C)C(=O)O)C2=CC(=CC=C2)Cl)C(=O)NCCCCC3=CC=CC=C3,3,1
20,18318274,3,4,436.9,4.8,CCC1=C(C(C(=C(N1)C)C(=O)O)C2=CC(=CC=C2)Cl)C(=O)NCC=CC3=CC=CC=C3,CCC1=C(C(C(=C(N1)C)C(=O)O)C2=CC(=CC=C2)Cl)C(=O)NC/C=C/C3=CC=CC=C3,3,0
21,18318270,3,4,410.9,4.2,CC1=C(C(C(=C(N1)C)C(=O)O)C2=CC(=CC=C2)Cl)C(=O)NCCC3=CC=CC=C3,CC1=C(C(C(=C(N1)C)C(=O)O)C2=CC(=CC=C2)Cl)C(=O)NCCC3=CC=CC=C3,3,1
22,15838576,2,6,448.9,3.9,CC1=C(C(C(=C(N1)C)C(=O)OC)C2=CC=CC=C2Cl)C(=O)NC(C)C(=O)OC(C)(C)C,CC1=C(C(C(=C(N1)C)C(=O)OC)C2=CC=CC=C2Cl)C(=O)N[C@@H](C)C(=O)OC(C)(C)C,3,0
23,15838575,2,6,434.9,3.3,CC1=C(C(C(=C(N1)C)C(=O)OC)C2=CC=CC=C2Cl)C(=O)NCC(=O)OC(C)(C)C,CC1=C(C(C(=C(N1)C)C(=O)OC)C2=CC=CC=C2Cl)C(=O)NCC(=O)OC(C)(C)C,3,1
24,9823695,3,4,424.9,4.6,CC1=C(C(C(=C(N1)C)C(=O)O)C2=CC(=CC=C2)Cl)C(=O)NCCCC3=CC=CC=C3,CC1=C(C(C(=C(N1)C)C(=O)O)C2=CC(=CC=C2)Cl)C(=O)NCCCC3=CC=CC=C3,3,1
26,20183476,3,4,316.74,2.0,CC1=C(C(C2=C(N1)C=CNC2=O)C3=CC=CC=C3Cl)C(=O)O,CC1=C(C(C2=C(N1)C=CNC2=O)C3=CC=CC=C3Cl)C(=O)O,3,1
27,20183491,2,5,401.9,0.3,CC1=C(C(C2=C(N1)C=CN(C2=O)CCCN(C)C)C3=CC=CC=C3Cl)C(=O)O,CC1=C(C(C2=C(N1)C=CN(C2=O)CCCN(C)C)C3=CC=CC=C3Cl)C(=O)O,3,1
28,46119892,1,5,408.9,1.7,CCOC(=O)C1=C(N(C(=O)CC1C2=CC=CC=C2Cl)CC(=O)NCCOC)C,CCOC(=O)C1=C(N(C(=O)CC1C2=CC=CC=C2Cl)CC(=O)NCCOC)C,2,1
30,623049,0,5,343.4,3.4,CCOC(=O)C1=C(N(C(=C(C1C2=CC=CC=C2)C(=O)OCC)C)C)C,CCOC(=O)C1=C(N(C(=C(C1C2=CC=CC=C2)C(=O)OCC)C)C)C,1,1
31,153738712,0,8,408.4,3.9,CC1=C(C(C(=C(N1CCOC)C)C(=O)OC(C)C)C2=C(C=CC(=C2)F)F)C(=O)[O-],CC1=C(C(C(=C(N1CCOC)C)C(=O)OC(C)C)C2=C(C=CC(=C2)F)F)C(=O)[O-],1,1
32,153738711,0,8,408.4,3.9,CC1=C(C(C(=C(N1CCOC)C)C(=O)OC(C)C)C2=C(C(=CC=C2)F)F)C(=O)[O-],CC1=C(C(C(=C(N1CCOC)C)C(=O)OC(C)C)C2=C(C(=CC=C2)F)F)C(=O)[O-],1,1
33,153738710,0,7,390.4,3.8,CC1=C(C(C(=C(N1CCOC)C)C(=O)OC(C)C)C2=CC=CC=C2F)C(=O)[O-],CC1=C(C(C(=C(N1CCOC)C)C(=O)OC(C)C)C2=CC=CC=C2F)C(=O)[O-],1,1
34,145580995,1,8,397.4,4.0,CC1=C(C(C(=C(N1C)C)C(=O)OC(C)C)C2=CC=C(C=C2)C(F)(F)F)C(=O)O,CC1=C(C(C(=C(N1C)C)C(=O)OC(C)C)C2=CC=C(C=C2)C(F)(F)F)C(=O)O,1,1
35,141562744,1,7,405.5,3.7,CC1=C(C(C(=C(N1C)C)C(=O)OCC(C(C)C)OC)C2=CC=C(C=C2)F)C(=O)O,CC1=C(C(C(=C(N1C)C)C(=O)OCC(C(C)C)OC)C2=CC=C(C=C2)F)C(=O)O,1,1
36,141562741,1,9,469.5,4.9,CCN1C(=C(C(C(=C1C)C(=O)OCC(C(C)C)OC)C2=CC=C(C=C2)C(F)(F)F)C(=O)O)C,CCN1C(=C(C(C(=C1C)C(=O)OCC(C(C)C)OC)C2=CC=C(C=C2)C(F)(F)F)C(=O)O)C,1,1
37,139821062,1,8,411.4,4.6,CCC(C)OC(=O)C1=C(N(C(=C(C1C2=CC=C(C=C2)C(F)(F)F)C(=O)O)C)C)C,CCC(C)OC(=O)C1=C(N(C(=C(C1C2=CC=C(C=C2)C(F)(F)F)C(=O)O)C)C)C,1,1
38,69944993,2,7,349.4,2.0,CC1=C(C(C(=C(N1CCOC)C)C(=O)O)C2=CC=CC=C2F)C(=O)O,CC1=C(C(C(=C(N1CCOC)C)C(=O)O)C2=CC=CC=C2F)C(=O)O,1,1
39,69191156,1,6,347.4,3.2,CCN1C(=C(C(C(=C1C)C(=O)OCC)C2=CC=C(C=C2)F)C(=O)O)C,CCN1C(=C(C(C(=C1C)C(=O)OCC)C2=CC=C(C=C2)F)C(=O)O)C,1,1
40,68123587,1,6,345.4,3.1,CC1=C(C(C(=C(N1C)C)C(=O)OCC=C)C2=CC(=CC=C2)F)C(=O)O,CC1=C(C(C(=C(N1C)C)C(=O)OCC=C)C2=CC(=CC=C2)F)C(=O)O,1,1
41,22363491,1,8,409.4,3.2,CC1=C(C(C(=C(N1CCOC)C)C(=O)OC(C)C)C2=C(C(=CC=C2)F)F)C(=O)O,CC1=C(C(C(=C(N1CCOC)C)C(=O)OC(C)C)C2=C(C(=CC=C2)F)F)C(=O)O,1,1
42,22363490,1,10,459.4,4.0,CC1=C(C(C(=C(N1CCOC)C)C(=O)OC(C)C)C2=C(C(=CC=C2)C(F)(F)F)F)C(=O)O,CC1=C(C(C(=C(N1CCOC)C)C(=O)OC(C)C)C2=C(C(=CC=C2)C(F)(F)F)F)C(=O)O,1,1
43,22363486,1,8,409.4,3.2,CC1=C(C(C(=C(N1CCOC)C)C(=O)OC(C)C)C2=C(C=CC(=C2)F)F)C(=O)O,CC1=C(C(C(=C(N1CCOC)C)C(=O)OC(C)C)C2=C(C=CC(=C2)F)F)C(=O)O,1,1
44,22363485,1,7,391.4,3.1,CC1=C(C(C(=C(N1CCOC)C)C(=O)OC(C)C)C2=CC=CC=C2F)C(=O)O,CC1=C(C(C(=C(N1CCOC)C)C(=O)OC(C)C)C2=CC=CC=C2F)C(=O)O,1,1
45,22363476,1,8,409.4,3.2,CC1=C(C(C(=C(N1CCOC)C)C(=O)OC(C)C)C2=C(C=CC=C2F)F)C(=O)O,CC1=C(C(C(=C(N1CCOC)C)C(=O)OC(C)C)C2=C(C=CC=C2F)F)C(=O)O,1,1
46,163946021,0,6,387.5,3.4,CC1=C(C(C(=C(N1C)C)C(=O)OC(C)C)C2=CC=CC=C2)C(=O)OCCOC,CC1=C(C(C(=C(N1C)C)C(=O)OC(C)C)C2=CC=CC=C2)C(=O)OCCOC,1,1
47,160258164,0,5,385.5,4.7,CCCOC(=O)C1=C(N(C(=C(C1C2=CC=C(C=C2)C)C(=O)OC(C)C)C)C)C,CCCOC(=O)C1=C(N(C(=C(C1C2=CC=C(C=C2)C)C(=O)OC(C)C)C)C)C,1,1
49,159333580,0,5,371.5,4.4,CCCOC(=O)C1=C(N(C(=C(C1C2=CC=CC=C2)C(=O)OC(C)C)C)C)C,CCCOC(=O)C1=C(N(C(=C(C1C2=CC=CC=C2)C(=O)OC(C)C)C)C)C,1,1
50,159081002,0,5,397.5,4.9,CCCOC(=O)C1=C(N(C(=C(C1C2=CC=CC=C2)C(=O)OC(C)C)C)C3CC3)C,CCCOC(=O)C1=C(N(C(=C(C1C2=CC=CC=C2)C(=O)OC(C)C)C)C3CC3)C,1,1
52,141923327,1,5,417.5,4.9,CC1=CC(=CC=C1)C2C(=C(N(C(=C2C(=O)OCC=CC3=CC=CC=C3)C)C)C)C(=O)O,CC1=CC(=CC=C1)C2C(=C(N(C(=C2C(=O)OC/C=C/C3=CC=CC=C3)C)C)C)C(=O)O,1,1
53,70633935,1,7,414.5,0.5,CC1=C(C(C(=C(N1C)C)C(=O)OC(C)(C)N2CCOCC2)C3=CC=CC=C3)C(=O)O,CC1=C(C(C(=C(N1C)C)C(=O)OC(C)(C)N2CCOCC2)C3=CC=CC=C3)C(=O)O,1,1
54,67696352,1,5,327.4,2.7,CC1=CC=CC=C1C2C3=C(COC3=O)N(C(=C2C(=O)O)C)C(C)C,CC1=CC=CC=C1C2C3=C(COC3=O)N(C(=C2C(=O)O)C)C(C)C,1,1
55,22363484,1,7,398.5,2.7,CC1=C(C(C(=C(N1CCOC)C)C(=O)OC(C)C)C2=CC=CC=C2C#N)C(=O)O,CC1=C(C(C(=C(N1CCOC)C)C(=O)OC(C)C)C2=CC=CC=C2C#N)C(=O)O,1,1
56,19009999,1,6,331.4,2.3,CC1=C(C(C(=C(N1COC)C)C(=O)OC)C2=CC=CC=C2)C(=O)O,CC1=C(C(C(=C(N1COC)C)C(=O)OC)C2=CC=CC=C2)C(=O)O,1,1
57,14230471,0,5,355.4,3.4,CCN1C(=C(C(C2=C1COC2=O)C3=CC=CC=C3C)C(=O)OC(C)C)C,CCN1C(=C(C(C2=C1COC2=O)C3=CC=CC=C3C)C(=O)OC(C)C)C,1,1
59,46703214,1,7,401.5,3.5,CC1C(=C(N(C(=C1C(=O)OCC2=CC=CC=C2)C)CC(=O)OC(C)C)C)C(=O)O,CC1C(=C(N(C(=C1C(=O)OCC2=CC=CC=C2)C)CC(=O)OC(C)C)C)C(=O)O,1,1
60,123364783,2,5,398.4,4.7,CC1=CC=C(C=C1)NC(=O)C2=CC=CC3=C2C=CC(=C3)OC4=CC(=NC=C4)C(=O)O,CC1=CC=C(C=C1)NC(=O)C2=CC=CC3=C2C=CC(=C3)OC4=CC(=NC=C4)C(=O)O,4,1
61,91377582,2,5,427.5,4.0,CNC(=O)C1=NC=CC(=C1)OC2=C(C3=CC=CC=C3C=C2)NC(=O)C4=CC(=CC=C4)OC,CNC(=O)C1=NC=CC(=C1)OC2=C(C3=CC=CC=C3C=C2)NC(=O)C4=CC(=CC=C4)OC,1,1
62,18506200,3,7,412.8,3.2,C1=CC=C(C(=C1)NC(=O)C2=CC(=NC=C2)Cl)OC3=CC(=C(C=C3)C(=O)O)C(=O)O,C1=CC=C(C(=C1)NC(=O)C2=CC(=NC=C2)Cl)OC3=CC(=C(C=C3)C(=O)O)C(=O)O,6,1
64,70073981,2,6,477.0,4.9,CC1=C(C(C(=C(N1)C)C(=O)OC)C2=CC=CC=C2Cl)C(=O)NC(C(C)C)C(=O)OC(C)(C)C,CC1=C(C(C(=C(N1)C)C(=O)OC)C2=CC=CC=C2Cl)C(=O)NC(C(C)C)C(=O)OC(C)(C)C,1,1
66,21283685,3,6,435.9,3.2,CCOC(=O)C1=C(NC(=C(C1C2=CC=CC=C2Cl)C(=O)NC(C)C)C)COCCN,CCOC(=O)C1=C(NC(=C(C1C2=CC=CC=C2Cl)C(=O)NC(C)C)C)COCCN,1,1
68,139677586,2,5,397.8,4.2,CC1=C(C(C(=C(N1CC2=CC=CC=C2)C)C(=O)O)C3=CC=CC=C3Cl)C(=O)O,CC1=C(C(C(=C(N1CC2=CC=CC=C2)C)C(=O)O)C3=CC=CC=C3Cl)C(=O)O,1,1
73,20242061,2,6,489.4,2.4,CC1=C(C(C(=C(N1)C)C(=O)OCCN(C)CC2=CC=CC=C2)C3=C(C(=CC=C3)Cl)Cl)C(=O)O,CC1=C(C(C(=C(N1)C)C(=O)OCCN(C)CC2=CC=CC=C2)C3=C(C(=CC=C3)Cl)Cl)C(=O)O,3,1
74,4908365,1,2,277.75,2.3,CN1CCN(CC1)C(=O)C2=CC3=C(N2)C=CC(=C3)Cl,CN1CCN(CC1)C(=O)C2=CC3=C(N2)C=CC(=C3)Cl,7,1
76,44450788,3,3,460.3,4.3,C1CN(CCC1O)C(=O)C(CC2=CC=CC=C2Cl)NC(=O)C3=CC4=C(N3)C=CC(=C4)Cl,C1CN(CCC1O)C(=O)[C@H](CC2=CC=CC=C2Cl)NC(=O)C3=CC4=C(N3)C=CC(=C4)Cl,5,1
77,23647200,2,3,453.0,4.6,CC(C)N1CCC(CC1)NC(=O)C2=CC3=CC=CC=C3N2CC(=O)NC4=CC(=CC=C4)Cl,CC(C)N1CCC(CC1)NC(=O)C2=CC3=CC=CC=C3N2CC(=O)NC4=CC(=CC=C4)Cl,3,1
78,21638785,2,2,263.72,1.8,C1CN(CCN1)C(=O)C2=CC3=C(N2)C=CC(=C3)Cl,C1CN(CCN1)C(=O)C2=CC3=C(N2)C=CC(=C3)Cl,6,1
84,16752691,2,2,381.9,4.8,CCC1=C(NC2=C1C=C(C=C2)Cl)C(=O)NC3CCN(C3)CC4=CC=CC=C4,CCC1=C(NC2=C1C=C(C=C2)Cl)C(=O)NC3CCN(C3)CC4=CC=CC=C4,5,1
85,15951577,3,2,353.8,3.5,CC1CNC(=O)C2=C1C3=C(N2)C=CC(=C3)C(=O)NC4=CC(=CC=C4)Cl,CC1CNC(=O)C2=C1C3=C(N2)C=CC(=C3)C(=O)NC4=CC(=CC=C4)Cl,4,1
86,15951575,3,2,353.8,3.5,CC1CNC(=O)C2=C1C3=C(N2)C=CC(=C3)C(=O)NC4=CC=C(C=C4)Cl,CC1CNC(=O)C2=C1C3=C(N2)C=CC(=C3)C(=O)NC4=CC=C(C=C4)Cl,8,1
87,10310138,4,4,427.9,2.3,C1C(C(=O)N(C2=CC=CC=C21)CC(CO)CO)NC(=O)C3=CC4=C(N3)C=CC(=C4)Cl,C1C(C(=O)N(C2=CC=CC=C21)CC(CO)CO)NC(=O)C3=CC4=C(N3)C=CC(=C4)Cl,6,1
88,10287292,3,3,383.8,2.8,C1C(C(=O)N(C2=CC=CC=C21)CCO)NC(=O)C3=CC4=C(N3)C=CC(=C4)Cl,C1C(C(=O)N(C2=CC=CC=C21)CCO)NC(=O)C3=CC4=C(N3)C=CC(=C4)Cl,8,1
89,10194504,4,4,413.9,2.1,C1C(C(=O)N(C2=CC=CC=C21)CC(CO)O)NC(=O)C3=CC4=C(N3)C=CC(=C4)Cl,C1C(C(=O)N(C2=CC=CC=C21)C[C@H](CO)O)NC(=O)C3=CC4=C(N3)C=CC(=C4)Cl,4,1
90,10126682,3,4,397.8,3.0,C1C(C(=O)N(C2=CC=CC=C21)CC(=O)O)NC(=O)C3=CC4=C(N3)C=CC(=C4)Cl,C1C(C(=O)N(C2=CC=CC=C21)CC(=O)O)NC(=O)C3=CC4=C(N3)C=CC(=C4)Cl,8,1
91,6540268,2,3,453.0,4.6,CC(C)N1CCC(CC1)NC(=O)C2=CC3=CC=CC=C3N2CC(=O)NC4=CC=C(C=C4)Cl,CC(C)N1CCC(CC1)NC(=O)C2=CC3=CC=CC=C3N2CC(=O)NC4=CC=C(C=C4)Cl,7,1
92,4897400,1,3,357.8,4.2,C1CN(CCN1C2=CC=CC=C2F)C(=O)C3=CC4=C(N3)C=CC(=C4)Cl,C1CN(CCN1C2=CC=CC=C2F)C(=O)C3=CC4=C(N3)C=CC(=C4)Cl,8,1
93,3939214,1,1,262.73,3.3,C1CCN(CC1)C(=O)C2=CC3=C(N2)C=CC(=C3)Cl,C1CCN(CC1)C(=O)C2=CC3=C(N2)C=CC(=C3)Cl,6,1
94,166633215,4,3,384.9,3.7,CCCNNC(=O)C1=CC=C(C=C1)CNC(=O)C2=CC3=C(N2)C=CC(=C3)Cl,CCCNNC(=O)C1=CC=C(C=C1)CNC(=O)C2=CC3=C(N2)C=CC(=C3)Cl,3,1
99,66572106,1,2,277.75,2.3,CN1CCN(CC1)C(=O)C2=CC3=C(N2)C=CC=C3Cl,CN1CCN(CC1)C(=O)C2=CC3=C(N2)C=CC=C3Cl,2,1
102,44450822,3,3,460.3,4.3,C1CN(CCC1O)C(=O)C(CC2=CC=C(C=C2)Cl)NC(=O)C3=CC4=C(N3)C=CC(=C4)Cl,C1CN(CCC1O)C(=O)[C@H](CC2=CC=C(C=C2)Cl)NC(=O)C3=CC4=C(N3)C=CC(=C4)Cl,5,1
103,44450780,3,3,425.9,3.7,C1CN(CCC1O)C(=O)C(CC2=CC=CC=C2)NC(=O)C3=CC4=C(N3)C=CC(=C4)Cl,C1CN(CCC1O)C(=O)[C@@H](CC2=CC=CC=C2)NC(=O)C3=CC4=C(N3)C=CC(=C4)Cl,7,1
104,35665437,1,2,264.71,2.1,C1COCCN1C(=O)C2=CC3=C(N2)C=CC(=C3)Cl,C1COCCN1C(=O)C2=CC3=C(N2)C=CC(=C3)Cl,2,1
105,14208230,3,4,446.9,4.7,C1=CC=C2C(=C1)C(=NC(C(=O)N2)NC(=O)C3=CC4=C(N3)C=CC(=C4)Cl)C5=CC=CC=C5F,C1=CC=C2C(=C1)C(=NC(C(=O)N2)NC(=O)C3=CC4=C(N3)C=CC(=C4)Cl)C5=CC=CC=C5F,5,1
106,11420126,3,3,474.9,4.3,C1CC(C(C1)NC(=O)C2=CC3=C(N2)C=CC(=C3)Cl)NC(=O)C4=CC=C(C=C4)N5C=CC=CC5=O,C1C[C@@H]([C@@H](C1)NC(=O)C2=CC3=C(N2)C=CC(=C3)Cl)NC(=O)C4=CC=C(C=C4)N5C=CC=CC5=O,6,1
107,10714181,2,2,369.8,3.8,CN(C)C(=O)C(CC1=CC=CC=C1)NC(=O)C2=CC3=C(N2)C=CC(=C3)Cl,CN(C)C(=O)[C@@H](CC1=CC=CC=C1)NC(=O)C2=CC3=C(N2)C=CC(=C3)Cl,8,1
108,10641957,3,2,355.8,3.6,CNC(=O)C(CC1=CC=CC=C1)NC(=O)C2=CC3=C(N2)C=CC(=C3)Cl,CNC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C2=CC3=C(N2)C=CC(=C3)Cl,8,1
109,10574415,3,3,425.9,3.7,C1CN(CCC1O)C(=O)C(CC2=CC=CC=C2)NC(=O)C3=CC4=C(N3)C=CC(=C4)Cl,C1CN(CCC1O)C(=O)[C@H](CC2=CC=CC=C2)NC(=O)C3=CC4=C(N3)C=CC(=C4)Cl,7,0
110,10546217,2,3,356.8,4.2,COC(=O)C(CC1=CC=CC=C1)NC(=O)C2=CC3=C(N2)C=CC(=C3)Cl,COC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C2=CC3=C(N2)C=CC(=C3)Cl,3,1
111,10498436,3,2,355.8,3.6,CNC(=O)C(CC1=CC=CC=C1)NC(=O)C2=CC3=C(N2)C=CC(=C3)Cl,CNC(=O)[C@@H](CC1=CC=CC=C1)NC(=O)C2=CC3=C(N2)C=CC(=C3)Cl,8,0
114,10248548,2,2,369.8,3.8,CN(C)C(=O)C(CC1=CC=CC=C1)NC(=O)C2=CC3=C(N2)C=CC(=C3)Cl,CN(C)C(=O)[C@H](CC1=CC=CC=C1)NC(=O)C2=CC3=C(N2)C=CC(=C3)Cl,8,0
115,10237241,3,3,371.8,2.7,C1=CC=C(C=C1)N(CCO)C(=O)CNC(=O)C2=CC3=C(N2)C=CC(=C3)Cl,C1=CC=C(C=C1)N(CCO)C(=O)CNC(=O)C2=CC3=C(N2)C=CC(=C3)Cl,5,1
116,9965450,1,2,277.75,2.3,CN1CCN(CC1)C(=O)C2=CC3=C(N2)C=C(C=C3)Cl,CN1CCN(CC1)C(=O)C2=CC3=C(N2)C=C(C=C3)Cl,2,1
117,9944571,1,2,312.2,2.9,CN1CCN(CC1)C(=O)C2=CC3=CC(=CC(=C3N2)Cl)Cl,CN1CCN(CC1)C(=O)C2=CC3=CC(=CC(=C3N2)Cl)Cl,2,1
118,9878733,1,2,277.75,2.3,CN1CCN(CC1)C(=O)C2=CC3=C(N2)C(=CC=C3)Cl,CN1CCN(CC1)C(=O)C2=CC3=C(N2)C(=CC=C3)Cl,5,1
119,9860842,1,2,291.77,2.6,CC1=CC(=CC2=C1NC(=C2)C(=O)N3CCN(CC3)C)Cl,CC1=CC(=CC2=C1NC(=C2)C(=O)N3CCN(CC3)C)Cl,5,1
120,9803497,3,4,443.9,3.8,C1CN(CCC1O)C(=O)C(CC2=CC=CC=C2F)NC(=O)C3=CC4=C(N3)C=CC(=C4)Cl,C1CN(CCC1O)C(=O)[C@H](CC2=CC=CC=C2F)NC(=O)C3=CC4=C(N3)C=CC(=C4)Cl,6,1
121,4975679,1,1,310.8,4.0,C1CN(CC2=CC=CC=C21)C(=O)C3=CC4=C(N3)C=CC(=C4)Cl,C1CN(CC2=CC=CC=C21)C(=O)C3=CC4=C(N3)C=CC(=C4)Cl,7,1
122,4973027,1,2,291.77,2.6,CCN1CCN(CC1)C(=O)C2=CC3=C(N2)C=CC(=C3)Cl,CCN1CCN(CC1)C(=O)C2=CC3=C(N2)C=CC(=C3)Cl,7,1
123,4970031,1,3,357.8,4.2,C1CN(CCN1C2=CC(=CC=C2)Cl)C(=O)C3=CC4=C(N3)C=CC(=C4)F,C1CN(CCN1C2=CC(=CC=C2)Cl)C(=O)C3=CC4=C(N3)C=CC(=C4)F,7,1
124,2814767,1,3,357.8,4.2,C1CN(CCN1C2=CC=C(C=C2)F)C(=O)C3=CC4=C(N3)C=CC(=C4)Cl,C1CN(CCN1C2=CC=C(C=C2)F)C(=O)C3=CC4=C(N3)C=CC(=C4)Cl,8,1
125,197964,2,1,220.65,2.3,C1CNC(=O)C2=C1C3=C(N2)C=CC(=C3)Cl,C1CNC(=O)C2=C1C3=C(N2)C=CC(=C3)Cl,5,1
127,162671558,2,3,368.9,3.4,CN1CCN(CC1)C2=CC=C(C=C2)C3=C(NC4=C3C=C(C=C4)Cl)C(=O)N,CN1CCN(CC1)C2=CC=C(C=C2)C3=C(NC4=C3C=C(C=C4)Cl)C(=O)N,4,1
128,162671181,2,2,327.8,3.3,CN(C)CC1=CC=C(C=C1)C2=C(NC3=C2C=C(C=C3)Cl)C(=O)N,CN(C)CC1=CC=C(C=C1)C2=C(NC3=C2C=C(C=C3)Cl)C(=O)N,3,1
130,162658034,2,2,313.8,3.6,CN(C)C1=CC=C(C=C1)C2=C(NC3=C2C=C(C=C3)Cl)C(=O)N,CN(C)C1=CC=C(C=C1)C2=C(NC3=C2C=C(C=C3)Cl)C(=O)N,3,1
131,162652559,2,2,367.8,3.5,C1CCN(C1)C(=O)C2=CC=C(C=C2)C3=C(NC4=C3C=C(C=C4)Cl)C(=O)N,C1CCN(C1)C(=O)C2=CC=C(C=C2)C3=C(NC4=C3C=C(C=C4)Cl)C(=O)N,4,1
134,162644455,2,1,284.74,3.9,CNC(=O)C1=C(C2=C(N1)C=CC(=C2)Cl)C3=CC=CC=C3,CNC(=O)C1=C(C2=C(N1)C=CC(=C2)Cl)C3=CC=CC=C3,5,1
137,155526005,2,2,327.8,2.8,CN1C2=C(C=C(C=C2)Cl)C=C1C(=O)NC(CN)C3=CC=CC=C3,CN1C2=C(C=C(C=C2)Cl)C=C1C(=O)NC(CN)C3=CC=CC=C3,6,1
138,155524324,0,3,385.9,3.9,CN1CCN(CC1)C(=O)C2=CC3=C(N2CC4=CC=C(C=C4)F)C=CC(=C3)Cl,CN1CCN(CC1)C(=O)C2=CC3=C(N2CC4=CC=C(C=C4)F)C=CC(=C3)Cl,2,1
